seed,dataset,noise_type,noise_level,frame_mode,estimator_label,permuted,k,g_hat,trace_cov_B,fve,num_graphs,n
42,sbm_d0.00,gaussian,0.15,frechet,knn_top_k,False,16,2.417428493499756,23.015111923217773,0.1050365734290016,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_top_k,True,16,2.160223484039306,23.015111923217773,0.0938610896721323,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_top_k,False,32,9.561720848083496,97.6180648803711,0.0979503215905907,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_top_k,True,32,9.303646087646484,97.6180648803711,0.0953066023081681,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_1d,False,4,0.3018235266208648,2.524115562438965,0.1195759540934898,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_1d,True,4,0.2257977873086929,2.524115562438965,0.0894562002900185,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_1d,False,8,0.7136883735656738,6.896198749542236,0.1034901109271318,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_1d,True,8,0.6795656681060791,6.896198749542236,0.0985420653880064,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_1d,False,16,2.2989511489868164,23.015111923217773,0.0998887668526878,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_1d,True,16,2.215148687362671,23.015111923217773,0.0962475739745595,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_1d,False,32,9.353889465332031,97.6180648803711,0.0958212957488455,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_1d,True,32,9.310237884521484,97.6180648803711,0.0953741287120471,200,50
42,sbm_d0.00,gaussian,0.15,frechet,bin_1d,False,4,0.1154489200562238,2.524115562438965,0.045738365459254,200,50
42,sbm_d0.00,gaussian,0.15,frechet,bin_1d,True,4,0.0363899352960288,2.524115562438965,0.0144169054054191,200,50
42,sbm_d0.00,gaussian,0.15,frechet,bin_1d,False,8,0.1985035538673401,6.896198749542236,0.0287844885387789,200,50
42,sbm_d0.00,gaussian,0.15,frechet,bin_1d,True,8,0.1082257945090532,6.896198749542236,0.0156935434200235,200,50
42,sbm_d0.00,gaussian,0.15,frechet,bin_1d,False,16,0.4676567614078522,23.015111923217773,0.0203195519086777,200,50
42,sbm_d0.00,gaussian,0.15,frechet,bin_1d,True,16,0.3716218322515487,23.015111923217773,0.0161468618311021,200,50
42,sbm_d0.00,gaussian,0.15,frechet,bin_1d,False,32,1.5617995262145996,97.6180648803711,0.0159990830398917,200,50
42,sbm_d0.00,gaussian,0.15,frechet,bin_1d,True,32,1.5444073975086212,97.6180648803711,0.0158209179766189,200,50
42,sbm_d0.00,gaussian,0.15,frechet,invariants_knn,False,4,204.01898193359372,344.9546813964844,0.5914370580728493,200,50
42,sbm_d0.00,gaussian,0.15,frechet,invariants_knn,True,4,35.84019470214844,344.9546813964844,0.1038982702222104,200,50
42,sbm_d0.00,gaussian,0.15,frechet,invariants_knn,False,8,213.7589263916016,360.4757080078125,0.5929912103452164,200,50
42,sbm_d0.00,gaussian,0.15,frechet,invariants_knn,True,8,37.67961502075195,360.4757080078125,0.1045274735126821,200,50
42,sbm_d0.00,gaussian,0.15,frechet,invariants_knn,False,16,192.59417724609372,346.5329284667969,0.5557745351883557,200,50
42,sbm_d0.00,gaussian,0.15,frechet,invariants_knn,True,16,52.588809967041016,346.5329284667969,0.1517570356148126,200,50
42,sbm_d0.00,gaussian,0.15,frechet,invariants_knn,False,32,206.5794982910156,366.0894165039063,0.5642869992359131,200,50
42,sbm_d0.00,gaussian,0.15,frechet,invariants_knn,True,32,47.2443962097168,366.0894165039063,0.1290515215132221,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_top_k,False,4,0.4363292455673218,2.6854324340820312,0.162480068397801,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_top_k,True,4,0.2463746219873428,2.6854324340820312,0.0917448597330141,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_top_k,False,8,0.9328392744064332,7.376012802124023,0.1264693133582698,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_top_k,True,8,0.7112568616867065,7.376012802124023,0.096428365943439,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_top_k,False,16,2.5533008575439453,24.61021423339844,0.1037496396142244,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_top_k,True,16,2.35906195640564,24.61021423339844,0.0958570264375904,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_top_k,False,32,9.816420555114746,101.57726287841795,0.0966399396572087,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_top_k,True,32,9.56528091430664,101.57726287841795,0.0941675394990286,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_1d,False,4,0.3273884952068329,2.6854324340820312,0.1219127657251019,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_1d,True,4,0.2672415375709533,2.6854324340820312,0.0995152714249186,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_1d,False,8,0.813550591468811,7.376012802124023,0.1102967976458145,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_1d,True,8,0.7440643906593323,7.376012802124023,0.100876233626529,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_1d,False,16,2.402039051055908,24.61021423339844,0.0976033377147976,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_1d,True,16,2.396796941757202,24.61021423339844,0.0973903322834352,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_1d,False,32,9.938097953796388,101.57726287841795,0.0978378199232608,200,50
42,sbm_d0.00,gaussian,0.2,frechet,knn_1d,True,32,9.773789405822754,101.57726287841795,0.0962202478080297,200,50
42,sbm_d0.00,gaussian,0.2,frechet,bin_1d,False,4,0.1296376278623938,2.6854324340820312,0.0482743956679395,200,50
42,sbm_d0.00,gaussian,0.2,frechet,bin_1d,True,4,0.0444602607749402,2.6854324340820312,0.0165560898910265,200,50
42,sbm_d0.00,gaussian,0.2,frechet,bin_1d,False,8,0.2158424817025661,7.376012802124023,0.0292627585516678,200,50
