model_type,stage,arch,k,lr,wd,asymmetric,n_runs,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_subspace_mean,test_subspace_std
digress,stage1c,gnn_v,32.0,0.0005,0.001,no,3.0,0.10659532745679219,0.0034405195929043766,0.10331199318170547,0.11017399281263351,1.3398094177246094,0.07325488943478237
digress,stage1c,gnn_v,16.0,0.001,0.001,no,3.0,0.10659599552551906,0.0029651872717086814,0.10354399681091309,0.10946598649024963,1.3262266715367634,0.08190869966081503
digress,stage1c,gnn_qk,16.0,0.0005,0.01,no,3.0,0.10660733034213384,0.0027371753053192943,0.10388799011707306,0.10936199873685835,1.3231110572814941,0.08579523915415041
digress,stage1c,gnn_v,16.0,0.0005,0.01,no,3.0,0.10660733034213384,0.0027371753053192943,0.10388799011707306,0.10936199873685835,1.33309010664622,0.0726160007005618
digress,stage1f,gnn_qk,16.0,0.0001,0.001,no,3.0,0.1066579967737198,0.0018752378102207228,0.10450199991464616,0.10790999233722688,1.3436052004496257,0.0776958597225033
digress,stage1f,digress_default,16.0,0.0001,0.001,no,9.0,0.10677133003870647,0.0028749077161638443,0.10396599769592284,0.11119399219751358,1.3502323495017157,0.06577042848335501
digress,stage1c,digress_default,16.0,0.0001,0.001,no,3.0,0.1068279966711998,0.0038415466088418753,0.10396599769592284,0.11119399219751358,1.347062389055888,0.07950397467004254
digress,stage1c,gnn_v,16.0,0.0001,0.01,no,3.0,0.10687733193238576,0.003776678499701834,0.1040399968624115,0.11116400361061096,1.3511203130086262,0.07226877058929479
digress,stage1c,digress_default,32.0,0.0001,0.01,no,3.0,0.1069366658727328,0.0015838203561084647,0.10511399805545808,0.107977993786335,1.3424766858418782,0.08381809392373381
digress,stage1c,gnn_all,32.0,0.001,0.01,no,3.0,0.10695799936850865,0.0026102219206375152,0.10458200424909592,0.10975199937820436,1.3327158689498901,0.0780816064618843
digress,stage1c,digress_default,32.0,0.0005,0.01,no,3.0,0.10695866247018178,0.003244336837982692,0.1035579964518547,0.1100199967622757,1.3320011297861736,0.07763167637877451
digress,stage1c,gnn_qk,32.0,0.0005,0.01,no,3.0,0.10695866247018178,0.003244336837982692,0.1035579964518547,0.1100199967622757,1.3419752915700276,0.0712916026620178
digress,stage1f,gnn_qk,32.0,0.001,0.001,no,3.0,0.1069999982913335,0.0028311564486290953,0.10443200170993804,0.11003599315881728,1.341903845469157,0.07028614461511284
digress,stage1c,digress_default,32.0,0.0001,0.001,no,3.0,0.1071046640475591,0.001381343217339015,0.1055239960551262,0.10807999968528748,1.352540413538615,0.08040273472438304
digress,stage1c,gnn_v,16.0,0.001,0.01,no,3.0,0.10711665948232015,0.0028239317625526872,0.10439399629831314,0.11003199219703674,1.337323546409607,0.07074714387632382
digress,stage1c,digress_default,16.0,0.001,0.01,no,3.0,0.10711665948232015,0.0028239317625526872,0.10439399629831314,0.11003199219703674,1.3353513479232788,0.07009624916111008
digress,stage1f,digress_default,16.0,0.0001,0.01,no,9.0,0.10715555234087838,0.0026715338012538318,0.10450799763202669,0.11116400361061096,1.350477443801032,0.06806116824420885
digress,stage1c,gnn_qk,32.0,0.0005,0.001,no,3.0,0.10716133068005244,0.0035066763444141433,0.10331199318170547,0.11017399281263351,1.3387770652770996,0.07418047379389164
digress,stage1f,digress_default,32.0,0.0005,0.001,no,9.0,0.1072104424238205,0.002969669112161099,0.10331199318170547,0.11017399281263351,1.3447569741143122,0.06402371753013276
digress,stage1f,digress_default,32.0,0.0001,0.001,no,9.0,0.1072577726509836,0.0020121989864117346,0.1053759902715683,0.1115639954805374,1.350433627764384,0.06584982516814561
digress,stage1f,gnn_qk,32.0,0.0005,0.001,no,3.0,0.10730866591135661,0.0032650379635716063,0.10375399887561798,0.11017399281263351,1.3469473918279011,0.07590548346970655
digress,stage1c,gnn_all,32.0,0.0005,0.001,no,3.0,0.10730866591135661,0.0032650379635716063,0.10375399887561798,0.11017399281263351,1.3430299758911133,0.07677162147155692
digress,stage1c,gnn_v,32.0,0.0001,0.01,no,3.0,0.10748866200447083,0.0034102910278333443,0.10546398907899857,0.1114259958267212,1.3496869802474976,0.07549957561414936
digress,stage1c,gnn_v,16.0,0.0001,0.001,no,3.0,0.10757399598757426,0.0036140121874848365,0.10396599769592284,0.11119399219751358,1.3597500721613567,0.0655037469105604
digress,stage1c,gnn_all,16.0,0.0001,0.001,no,3.0,0.10757399598757426,0.0036140121874848365,0.10396599769592284,0.11119399219751358,1.3518716096878052,0.07514766063006748
digress,stage1f,gnn_qk,16.0,0.0001,0.01,no,3.0,0.10761066277821858,0.0035620349739979205,0.1040399968624115,0.11116400361061096,1.3568395773569744,0.07074276077465881
digress,stage1c,gnn_all,16.0,0.0001,0.01,no,3.0,0.10776666303475697,0.0033301692148400004,0.10450799763202669,0.11116400361061096,1.3539700508117676,0.07593636588771774
digress,stage1c,gnn_qk,32.0,0.0001,0.001,no,3.0,0.10777666171391805,0.0024346887168128226,0.1053759902715683,0.1102439984679222,1.3501452207565308,0.0746593818709309
digress,stage1f,digress_default,32.0,0.0001,0.01,no,9.0,0.10816377566920386,0.0026552121435707327,0.10511399805545808,0.1114259958267212,1.3518016205893622,0.06400388456375922
digress,stage1c,gnn_all,32.0,0.0001,0.001,no,3.0,0.10821666071812312,0.0031249613858864234,0.1053759902715683,0.1115639954805374,1.3500850598017375,0.07583381904507844
digress,stage1f,gnn_qk,32.0,0.0001,0.001,no,3.0,0.10826599597930908,0.0030581448481061075,0.1055239960551262,0.1115639954805374,1.3558643658955891,0.07682695635018769
spectral,stage2,self_attention,8.0,0.001,0.01,no,24.0,0.126715580932796,0.1088029200936758,0.04055999591946602,0.3151189982891083,2.4529035141070685,0.47670459272121984
spectral,stage2,self_attention,8.0,0.001,0.001,no,24.0,0.12678025973339876,0.10888276638135738,0.040569595992565155,0.31547096371650696,2.452600210905075,0.47704493013089216
spectral,stage2,self_attention,8.0,0.0005,0.01,no,24.0,0.12679091158012548,0.10839423327786092,0.04110720008611679,0.3123979866504669,2.451297084490458,0.4773910675168125
spectral,stage2,self_attention,8.0,0.0005,0.001,no,24.0,0.12679716385900974,0.10841525704939906,0.04110559821128845,0.31252598762512207,2.4514787594477334,0.47734022364147427
